county,id,sh_usfr_within_50miles,sh_usfr_within_100miles,sh_usfr_within_500miles
17089,639,0.67,0.71,0.82
17091,640,0.54,0.7,0.85
17093,641,0.63,0.68,0.82
17095,642,0.6,0.67,0.86
17097,643,0.59,0.66,0.78
17099,644,0.62,0.76,0.87
17101,645,0.68,0.74,0.91
17103,646,0.63,0.74,0.86
17105,647,0.62,0.75,0.88
17107,648,0.61,0.7,0.89
17109,649,0.35,0.47,0.87
17111,650,0.45,0.7,0.82
17113,651,0.43,0.53,0.84
17115,652,0.63,0.68,0.88
17117,653,0.66,0.76,0.9
17119,654,0.66,0.72,0.88
17121,655,0.64,0.77,0.9
17123,656,0.66,0.74,0.88
17125,657,0.69,0.77,0.9
17127,658,0.7,0.76,0.92
17129,659,0.63,0.73,0.88
17131,660,0.68,0.74,0.89
17133,661,0.71,0.75,0.89
17135,662,0.66,0.77,0.9
17137,663,0.59,0.71,0.88
17139,664,0.64,0.72,0.89
17141,665,0.62,0.73,0.85
17143,666,0.57,0.64,0.85
17145,667,0.7,0.78,0.91
17147,668,0.62,0.69,0.87
17149,669,0.66,0.78,0.91
17151,670,0.64,0.71,0.9
17153,671,0.63,0.69,0.91
17155,672,0.62,0.75,0.87
17157,673,0.68,0.79,0.91
17159,674,0.61,0.73,0.9
17161,675,0.61,0.66,0.85
17163,676,0.66,0.69,0.85
17165,677,0.7,0.77,0.92
17167,678,0.55,0.66,0.86
17169,679,0.64,0.75,0.9
17171,680,0.71,0.8,0.92
17173,681,0.66,0.76,0.9
17175,682,0.64,0.73,0.88
17177,683,0.61,0.68,0.86
17179,684,0.65,0.71,0.87
17181,685,0.66,0.73,0.9
17183,686,0.62,0.69,0.89
17185,687,0.67,0.74,0.9
17187,688,0.57,0.66,0.87
17189,689,0.67,0.76,0.9
17191,690,0.68,0.78,0.92
17193,691,0.7,0.76,0.91
17195,692,0.65,0.73,0.87
17197,693,0.67,0.71,0.83
17199,694,0.63,0.7,0.89
17201,695,0.61,0.74,0.84
17203,696,0.62,0.71,0.87
18001,697,0.69,0.78,0.9
18003,698,0.59,0.65,0.86
18005,699,0.65,0.73,0.87
18007,700,0.59,0.73,0.86
18009,701,0.69,0.77,0.89
18011,702,0.56,0.63,0.83
18013,703,0.66,0.74,0.87
18015,704,0.65,0.77,0.89
18017,705,0.64,0.75,0.87
18019,706,0.69,0.75,0.89
18021,707,0.7,0.8,0.91
18023,708,0.72,0.78,0.89
18025,709,0.7,0.78,0.91
18027,710,0.68,0.79,0.9
18029,711,0.73,0.79,0.91
18031,712,0.71,0.8,0.92
18033,713,0.68,0.73,0.89
18035,714,0.6,0.71,0.89
18037,715,0.68,0.75,0.91
18039,716,0.64,0.71,0.86
18041,717,0.72,0.81,0.92
18043,718,0.69,0.75,0.9
18045,719,0.68,0.78,0.9
18047,720,0.73,0.82,0.93
18049,721,0.65,0.78,0.89
18051,722,0.7,0.75,0.91
